Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Pingree	Chellie		P	ME01	2024	5/8/2024	20025006
Hon.	Pocan	Mark		P	WI02	2024	3/28/2024	20024758
Mr.	Pombo	Tony J		C	OH10	2024	3/19/2024	10056875
	Portantino	Anthony		C	CA30	2024	5/5/2024	10059797
	Prabhudoss	John		C	VA07	2024	1/25/2024	10056641
	Pruett	Dasha		C	PA05	2024	2/22/2024	10056666
	Qarni	Atif		C	VA10	2024	4/29/2024	10059286
	Raatz	Jeff		C	IN06	2024	4/5/2024	10056929
Mrs.	Ramirez Morales	Viviana		D	PR00	2024	4/11/2024	40003621
	Ratevosian	Jirair		W	CA30	2024	4/24/2024	7945
Dr.	Reddy	Venkataprasanth		X	KS03	2024	5/8/2024	30021007
	Reeves	Jay		C	MN06	2024	3/2/2024	10056851
	Rehberg	Denny		C	MT02	2024	5/6/2024	10056925
	Richmond	Quinn Lamar		C	CA37	2024	2/23/2024	10056819
	Riley	Cheryl		C	MD08	2024	4/13/2024	10057007
	Rogers	Evelyn L (Louise)		C	OK01	2024	4/15/2024	10057421
	Rogers	Evelyn L (Louise)		C	OK01	2024	4/22/2024	8220238
	Rogers	Evelyn L (Louise)		D	OK01	2024	4/22/2024	8220235
Hon.	Rogers	Harold Dallas		P	KY05	2024	2/20/2024	8220155
Hon.	Rogers	Harold Dallas		P	KY05	2024	3/13/2024	8220176
Hon.	Rogers	Harold Dallas		P	KY05	2024	4/10/2024	8220203
Hon.	Rogers	Harold Dallas		P	KY05	2024	5/9/2024	8220271
Hon.	Ross	Deborah		P	NC02	2024	5/5/2024	20024986
Hon.	Roy	Chip		P	TX21	2024	4/11/2024	20024848
	Rubin	Joel Martin		W	MD06	2024	4/23/2024	7944
	Ruby	Daniel		C	OR02	2024	4/6/2024	10056975
	Runkel	Cheryl Ann		C	WI07	2024	4/29/2024	10059256
Hon.	Salazar	Maria Elvira		P	FL27	2024	1/12/2024	20024296
Hon.	Salazar	Maria Elvira		P	FL27	2024	2/8/2024	20024465
Hon.	Salazar	Maria Elvira		P	FL27	2024	3/10/2024	20024649
Hon.	Salazar	Maria Elvira		P	FL27	2024	5/8/2024	20025014
	Sauers	John		C	NJ11	2024	3/16/2024	10056908
	Schaffner	Katrina		C	AZ05	2024	4/25/2024	10059176
	Schwartz	Dan		C	NV03	2024	5/10/2024	10056777
	Schwartz	Dan		X	NV03	2024	2/21/2024	30019608
	Scott	Justin Nathaniel		C	SC06	2024	4/4/2024	10056965
Hon.	Sessions	Pete		P	TX17	2024	1/24/2024	20024212
Hon.	Sessions	Pete		P	TX17	2024	2/29/2024	20024375
Hon.	Sessions	Pete		P	TX17	2024	3/7/2024	20024632
Mr.	Sessler	Jerrod		C	WA04	2024	4/23/2024	10058989
Mr.	Sheth	Nirav		C	WA10	2024	5/2/2024	10059626
	Shreve	Jefferson		C	IN06	2024	4/5/2024	10056944
	Silva	Thomas W.		C	CO07	2024	5/1/2024	10059531
Dr.	Simon	Fred Joseph		C	NV02	2024	5/5/2024	10059767
Hon.	Smith	Adrian		P	NE03	2024	3/1/2024	20024577
	Soboleski	Mike		C	ME02	2024	5/10/2024	10060054
	Sonza	Orlando		C	OH01	2024	5/11/2024	10060611
Hon.	Spartz	Victoria		P	IN05	2024	2/15/2024	20024515
	Speedy	Mike		C	IN06	2024	4/6/2024	10056963
	Speedy	Mike		X	IN06	2024	2/7/2024	8220132
	St Mosley	Clinton		C	MI09	2024	5/11/2024	10059718
Ms.	Stamper	Katy L.		A	GA11	2024	5/9/2024	10060357
Ms.	Stamper	Katy L.		C	GA11	2024	4/21/2024	10057737
	Steinberger	Robert J.		C	MD03	2024	4/19/2024	10056981
	Stephens	Shannon Emily		D	NY02	2024	1/30/2024	8220144
Hon.	Steube	Greg		P	FL17	2024	3/15/2024	20024660
Hon.	Steube	Greg		P	FL17	2024	4/6/2024	20024787
Hon.	Suozzi	Thomas R.		P	NY03	2024	4/2/2024	20024271
	Swain	Alan D.		C	NC02	2024	1/17/2024	10056618
	Swartz	Jessica		C	MI04	2024	5/3/2024	10059325
	Sykes	Jeffrey		D	LA05	2024	2/16/2024	40003602
	Sykes	Jeffrey		X	LA06	2024	2/12/2024	30019591
	Tanaka	Greg Lin		D	CA16	2024	1/22/2024	40003590
	Taylor	David		X	OH02	2024	4/23/2024	30020843
Hon.	Thanedar	Shri		P	MI13	2024	2/23/2024	20024468
	Theriault	Austin Leo		C	ME02	2024	5/10/2024	10060453
	Todd	Mary		C	MT01	2024	3/2/2024	10056850
	Todd	Terris Eugene		C	VA07	2024	4/18/2024	10056958
	Torres	Jerry		C	VA08	2024	5/9/2024	10060309
	Tran	Derek		X	CA45	2024	4/23/2024	30019823
Dr.	Tsai	Rick		C	OH06	2024	1/22/2024	10056595
	Tupa	Ronald		C	CO07	2024	4/29/2024	10059279
	Vargas	Anthony 'Tony'		X	NE02	2024	4/30/2024	30020992
	Vega	Jose David		C	NY15	2024	3/4/2024	10056742
Mr.	Vera	Lalo	Jr.	C	IN01	2024	3/25/2024	10056928
	Villafane Ramos	William Ely		C	PR00	2024	5/5/2024	10057754
	Villarreal Rigney	John		C	TX15	2024	2/4/2024	10056644
	Vindman	Yevgeny 'Eugene'		X	VA07	2024	4/23/2024	30019825
	Virgil	Kevin		C	IA04	2024	5/11/2024	10056859
	Wagenhauser	David		C	NY24	2024	5/8/2024	10060160
	Walbridge	Brian		C	TX31	2024	5/8/2024	10060104
	Walker	Christopher		C	WV02	2024	3/10/2024	10056655
	Walker	Christopher		X	WV02	2024	1/29/2024	30019578
	Walker	Edward Alan		C	MT02	2024	5/3/2024	10059722
	Warren	Darren		D	NC10	2024	2/22/2024	40003607
Ms.	Washburn	Amy Irene		C	WI06	2024	4/18/2024	10057712
Hon.	Wasserman Schultz	Debbie		P	FL25	2024	1/31/2024	20024403
	Waters	Dom		W		2024		8220146
	Weinroth	Robert S.		X	FL23	2024	5/8/2024	30021128
	Welzer	Steven		C	NJ03	2024	4/5/2024	10056967
	Wied	Tony		X	WI08	2024	5/8/2024	30021133
	Wilkin	Shane		C	OH02	2024	2/18/2024	10056794
	Wilkin	Shane		D	OH02	2024	1/18/2024	8220116
	Wilkin	Shane		X	OH02	2024	2/7/2024	8220133
	Wilkinson	Margarita		W	CA49	2024	4/25/2024	7947
	Williams	David		X	CO05	2024	5/8/2024	30021108
	Withrow	Adam Joseph		D	CO03	2024	5/9/2024	40003636
	Witkop	Thomas		C	FL21	2024	3/4/2024	10056855
	Wright	Glenn J.		C	UT03	2024	4/22/2024	10058833
	Wright	Steven William		C	TX35	2024	5/12/2024	10060640
Hon.	Yakym	Rudy	III	P	IN02	2024	1/22/2024	20024353
Hon.	Yakym	Rudy	III	P	IN02	2024	1/29/2024	20024392
	Yarbrough	Calil Antwoin D'Sean		W	CO05	2024	4/18/2024	7927
	Young	Geoffrey M.		C	KY03	2024	4/5/2024	8220237
	Young	Rubin Mr		X	FL25	2024	4/23/2024	30019826
	Yu	Peter		A	CO04	2024	1/31/2024	10056687
	Yu	Peter		C	CO04	2024	1/28/2024	10056654
